price,area_sqft,bedrooms,bathrooms,price_per_sqft,total_agent_listings,cluster,market_segment,bed_bath_ratio,lead_score
53500000,2223,3,4,24066.5767,253,1,Budget Area,0.75,67.7313314954661
35800000,900,1,1,39777.77778,33,3,Premium Area,1.0,33.125033896552694
608200000,9,5,5,67577777.78,33,2,Luxury Area,1.0,8.922646397939642
32000000,1503,3,3,21290.75183,43,1,Budget Area,1.0,55.650748644319094
52500000,1701,3,3,30864.19753,106,1,Budget Area,1.0,57.63877262409017
24500000,1800,3,3,13611.11111,217,1,Budget Area,1.0,63.71321078051253
17500000,1251,4,2,13988.80895,217,1,Budget Area,2.0,62.74505952999975
8500000,747,2,2,11378.84873,59,3,Premium Area,1.0,44.59139898638031
7800000,747,2,2,10441.76707,59,3,Premium Area,1.0,44.631808349884096
30000000,1989,3,4,15082.95626,59,1,Budget Area,0.75,61.00325858795588
16500000,1548,3,3,10658.91473,59,1,Budget Area,1.0,57.321849332453986
21500000,1800,3,4,11944.44444,59,1,Budget Area,0.75,60.65128697564397
9500000,1053,2,2,9021.842355,59,3,Premium Area,1.0,45.89425696373935
